Class;Date;Plant stand;Precip;Temp;Hail;Crop hist;Area damaged;Severity;Seed tmt;Germination;Plant Growth;Leaves;Leafspots halo;Leafspots marg;Leafspot size;Leaf shread;Leaf malf;Leaf mild;Stem;Lodging;Stem Cankers;Canker lesion;Fruiting bodies;External decay;Mycelium;Int discolor;Sclerotia;Fruit pods;Fruit spots;Seed;Mold growth;Seed discolor;Seed size;Shriveling;Roots
diaporthe-stem-canker;6;0;2;1;0;1;1;1;0;0;1;1;0;2;2;0;0;0;1;1;3;1;1;1;0;0;0;0;4;0;0;0;0;0;0
diaporthe-stem-canker;4;0;2;1;0;2;0;2;1;1;1;1;0;2;2;0;0;0;1;0;3;1;1;1;0;0;0;0;4;0;0;0;0;0;0
diaporthe-stem-canker;3;0;2;1;0;1;0;2;1;2;1;1;0;2;2;0;0;0;1;0;3;0;1;1;0;0;0;0;4;0;0;0;0;0;0
diaporthe-stem-canker;3;0;2;1;0;1;0;2;0;1;1;1;0;2;2;0;0;0;1;0;3;0;1;1;0;0;0;0;4;0;0;0;0;0;0
diaporthe-stem-canker;6;0;2;1;0;2;0;1;0;2;1;1;0;2;2;0;0;0;1;0;3;1;1;1;0;0;0;0;4;0;0;0;0;0;0
diaporthe-stem-canker;5;0;2;1;0;3;0;1;0;1;1;1;0;2;2;0;0;0;1;0;3;0;1;1;0;0;0;0;4;0;0;0;0;0;0
diaporthe-stem-canker;5;0;2;1;0;2;0;1;1;0;1;1;0;2;2;0;0;0;1;1;3;1;1;1;0;0;0;0;4;0;0;0;0;0;0
diaporthe-stem-canker;4;0;2;1;1;1;0;1;0;2;1;1;0;2;2;0;0;0;1;0;3;1;1;1;0;0;0;0;4;0;0;0;0;0;0
diaporthe-stem-canker;6;0;2;1;0;3;0;1;1;1;1;1;0;2;2;0;0;0;1;0;3;1;1;1;0;0;0;0;4;0;0;0;0;0;0
diaporthe-stem-canker;4;0;2;1;0;2;0;2;0;2;1;1;0;2;2;0;0;0;1;0;3;1;1;1;0;0;0;0;4;0;0;0;0;0;0
charcoal-rot;6;0;0;2;0;1;3;1;1;0;1;1;0;2;2;0;0;0;1;0;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
charcoal-rot;4;0;0;1;1;1;3;1;1;1;1;1;0;2;2;0;0;0;1;1;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
charcoal-rot;3;0;0;1;0;1;2;1;0;0;1;1;0;2;2;0;0;0;1;0;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
charcoal-rot;6;0;0;1;1;3;3;1;1;0;1;1;0;2;2;0;0;0;1;0;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
charcoal-rot;6;0;0;2;0;1;3;1;1;1;1;1;0;2;2;0;0;0;1;0;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
charcoal-rot;5;0;0;2;1;3;3;1;1;2;1;1;0;2;2;0;0;0;1;0;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
charcoal-rot;6;0;0;2;1;0;2;1;0;0;1;1;0;2;2;0;0;0;1;1;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
charcoal-rot;4;0;0;1;0;2;2;1;0;1;1;1;0;2;2;0;0;0;1;0;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
charcoal-rot;3;0;0;2;0;2;2;1;0;2;1;1;0;2;2;0;0;0;1;0;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
charcoal-rot;5;0;0;2;1;2;2;1;0;2;1;1;0;2;2;0;0;0;1;0;0;3;0;0;0;2;1;0;4;0;0;0;0;0;0
rhizoctonia-root-rot;1;1;2;0;0;2;1;2;0;2;1;0;0;2;2;0;0;0;1;0;1;1;0;1;1;0;0;3;4;0;0;0;0;0;0
rhizoctonia-root-rot;1;1;2;0;0;1;1;2;0;1;1;0;0;2;2;0;0;0;1;0;1;1;0;1;0;0;0;3;4;0;0;0;0;0;0
rhizoctonia-root-rot;3;0;2;0;1;3;1;2;0;1;1;0;0;2;2;0;0;0;1;1;1;1;0;1;1;0;0;3;4;0;0;0;0;0;0
rhizoctonia-root-rot;0;1;2;0;0;0;1;1;1;2;1;0;0;2;2;0;0;0;1;0;1;1;0;1;0;0;0;3;4;0;0;0;0;0;0
rhizoctonia-root-rot;0;1;2;0;0;1;1;2;1;2;1;0;0;2;2;0;0;0;1;0;1;1;0;1;0;0;0;3;4;0;0;0;0;0;0
